team,group,confederation,is_host,fifa_rank_proxy,elo,attack,defense,squad,form
Mexico,A,CONCACAF,1,15,1815,76,75,78,72
South Africa,A,CAF,0,61,1640,63,65,61,68
Korea Republic,A,AFC,0,22,1780,74,73,76,73
Czechia,A,UEFA,0,39,1715,70,71,72,68
Canada,B,CONCACAF,1,31,1735,72,70,73,70
Bosnia and Herzegovina,B,UEFA,0,56,1665,67,65,66,69
Qatar,B,AFC,0,53,1670,66,65,65,66
Switzerland,B,UEFA,0,17,1835,78,80,80,73
Brazil,C,CONMEBOL,0,5,1960,91,85,91,80
Morocco,C,CAF,0,12,1875,81,82,82,78
Haiti,C,CONCACAF,0,83,1540,58,56,55,63
Scotland,C,UEFA,0,44,1700,69,70,70,69
USA,D,CONCACAF,1,16,1810,77,76,79,71
Paraguay,D,CONMEBOL,0,38,1725,70,72,70,70
Australia,D,AFC,0,25,1765,72,73,72,71
Turkiye,D,UEFA,0,26,1775,78,72,79,75
Germany,E,UEFA,0,9,1895,86,83,87,78
Curacao,E,CONCACAF,0,82,1550,58,56,56,64
Cote d'Ivoire,E,CAF,0,42,1710,72,71,74,73
Ecuador,E,CONMEBOL,0,24,1785,74,77,75,74
Netherlands,F,UEFA,0,7,1910,86,85,87,79
Japan,F,AFC,0,19,1830,78,77,78,76
Sweden,F,UEFA,0,36,1730,73,72,74,72
Tunisia,F,CAF,0,41,1710,67,72,68,70
Belgium,G,UEFA,0,8,1885,84,80,85,76
Egypt,G,CAF,0,35,1735,74,72,73,74
IR Iran,G,AFC,0,20,1810,76,75,75,74
New Zealand,G,OFC,0,89,1515,56,57,54,62
Spain,H,UEFA,0,1,2005,90,88,92,84
Cabo Verde,H,CAF,0,70,1605,61,62,60,70
Saudi Arabia,H,AFC,0,58,1655,65,64,64,66
Uruguay,H,CONMEBOL,0,14,1850,80,81,81,76
France,I,UEFA,0,3,1990,92,87,93,82
Senegal,I,CAF,0,18,1830,77,79,78,74
Iraq,I,AFC,0,59,1645,65,64,64,69
Norway,I,UEFA,0,29,1760,82,72,82,77
Argentina,J,CONMEBOL,0,2,2000,90,87,91,82
Algeria,J,CAF,0,37,1720,73,71,73,72
Austria,J,UEFA,0,28,1765,75,76,76,74
Jordan,J,AFC,0,68,1600,62,61,60,68
Portugal,K,UEFA,0,6,1930,88,84,89,80
Congo DR,K,CAF,0,60,1640,66,65,65,70
Uzbekistan,K,AFC,0,55,1660,66,66,65,70
Colombia,K,CONMEBOL,0,13,1860,80,80,81,77
England,L,UEFA,0,4,1975,89,86,91,81
Croatia,L,UEFA,0,11,1865,80,81,82,75
Ghana,L,CAF,0,47,1690,70,68,72,67
Panama,L,CONCACAF,0,32,1740,70,69,69,72
